ID,Policy,Text,
1285550,Basis of Presentation and Use of Estimates,"The preparation of financial statements in conformity with accounting principles generally accepted in the United States (“GAAP”) requires management to make estimates and assumptions that affect the reported amounts of assets and liabilities, disclosure of contingent assets and liabilities at the date of the consolidated financial statements, and the reported amounts of revenues and expenses during the reporting period. Actual results could differ from those estimates.",
1285550,Cash and Cash Equivalents,Cash and cash equivalents include all highly liquid investments with an original maturity of three months or less.,
1285550,Derivative Liability for Warrants to Purchase Common Stock,"Derivative liabilities for warrants represents the fair value of warrants issued in connection with certain private placements of shares of the Company’s common stock (see Note 7). The fair values of these warrants are presented as liabilities based on certain net cash settlement and exercise price reset, or “down round,” provisions. These derivative liabilities, which are recorded on the accompanying consolidated balance sheets, are calculated utilizing the Monte Carlo simulation valuation method. Changes in the fair values of these warrants are recognized as other income or expense in the related statement of operations.",
1285550,Other Derivative Financial Instruments,"The Company adjusts its derivative financial instruments to fair value at each balance sheet date (see Note 6). Changes in the fair values of derivatives are recorded each reporting period as gains or losses in the statements of operations unless the derivatives qualify for hedge accounting. At December 31, 2014 and 2013, the Company did not have any derivative instruments that were designated as hedges.",
1285550,Fair Value Measurements,"The Company measures and records certain financial assets and liabilities at fair value on a recurring basis. The table below reflects the carrying values and the estimated fair values, based on Level 3 inputs, of the Company’s outstanding notes payable including the related accrued interest at December 31, 2014: Carrying amounts of the Company’s cash and cash equivalents, accounts receivable, accounts payable and accrued liabilities approximate their fair values due to their short maturities. GAAP provides a fair value hierarchy that prioritizes the inputs to valuation techniques used to measure fair value. The hierarchy gives the highest priority, referred to as Level 1, to quoted prices in active markets for identical assets and liabilities. The next priority, referred to as Level 2, is given to quoted prices for similar assets or liabilities in active markets or quoted prices for identical or similar assets or liabilities in markets that are not active; that is, markets in which there are few transactions for the asset or liability. The lowest priority, referred to as Level 3, is given to unobservable inputs. The table below reflects the level of the inputs used in the Company’s fair value calculation for instruments carried at fair value at (see Note 7):",
1285550,Inventory,"Inventory is carried at the lower of cost (first-in, first-out (FIFO) method) or net realizable value. All items included in inventory relate to the Company’s ClearPoint system. Software license inventory that is not expected to be utilized within the next twelve months is classified as a non-current asset. The Company periodically reviews its inventory for obsolete items and provides a reserve upon identification of potential obsolete items.",
1285550,Property and Equipment,"Property and equipment, including certain long-term loaned ClearPoint systems, are recorded at cost and are depreciated on a straight-line basis over their estimated useful lives, principally five to seven years. Leasehold improvements are depreciated on a straight-line basis over the lesser of their estimated useful lives or the term of the related lease.",
1285550,Impairment of Long-Lived Assets,"The Company evaluates the recoverability of its long-lived assets (finite-lived intangible assets and property and equipment). Whenever events or changes in circumstances indicate that the carrying amount of such assets may not be fully recoverable, the expected undiscounted future cash flows are compared to the net book value of the related assets. If the net book value of the related assets exceeds the undiscounted expected future cash flows of the assets, the carrying amount would be reduced to the present value of the expected future cash flows and an impairment loss would be recognized. The Company has not recorded any impairment losses for the years ended December 31, 2014 or 2013.",
1285550,Revenue Recognition,"The Company’s revenues are comprised of: (1) product revenues resulting from the sale of ClearPoint system reusable products, disposable products and ClearTrace system components; (2) license and development arrangements; (3) development service revenues; and (4) other service revenues. The Company recognizes revenue when persuasive evidence of an arrangement exists, the selling price or fee is fixed or determinable, collection is reasonably assured and, for product revenues, risk of loss has transferred to the customer. For all sales, the Company requires either a purchase agreement or a purchase order as evidence of an arrangement. The Company analyzes revenue recognition on an agreement by agreement basis. The Company determines whether the deliverables under the arrangement represent separate units of accounting as defined by GAAP. Application of GAAP regarding multiple-element arrangements requires management to make subjective judgments about the values of the individual elements and whether delivered elements are separable from the other aspects of the contractual relationship.",
1285550,Product Warranties,"The Company’s standard policy is to warrant ClearPoint system reusable products against defects in material or workmanship for one year following installation. The Company’s estimate of costs to service the warranty obligations is based on historical experience and continues to be an immaterial amount. A periodic review of warranty obligations is performed to determine the adequacy of the reserve and adjustments, recorded to cost of product revenues, are made to the estimated warranty liability (included in other accrued liabilities) as appropriate.",
