ID,Sheet,Policy,Text
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,THE CONNECTICUT LIGHT AND POWER COMPANY,
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,NSTAR ELECTRIC COMPANY AND SUBSIDIARY,
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,PUBLIC SERVICE COMPANY OF NEW HAMPSHIRE AND SUBSIDIARY,
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,WESTERN MASSACHUSETTS ELECTRIC COMPANY,
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,COMBINED NOTES TO FINANCIAL STATEMENTS,Refer to the Glossary of Terms included in this combined Annual Report on Form 10-K for abbreviations and acronyms used throughout the combined notes to the financial statements.
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,1.       SUMMARY OF SIGNIFICANT ACCOUNTING POLICIES ,"A.       About NU, CL&P, NSTAR Electric, PSNH and WMECO NU Consolidated: NU is a public utility holding company primarily engaged through its wholly owned regulated utility subsidiaries in the energy delivery business. On April 10, 2012, NU acquired NSTAR and its subsidiaries. See Note 21, ""Merger of NU and NSTAR,"" for further information regarding the merger. NU's wholly owned regulated utility subsidiaries consist of CL&P, NSTAR Electric, PSNH, WMECO, Yankee Gas and NSTAR Gas. NU provides energy delivery service to approximately 3.6 million electric and natural gas customers through these six regulated utilities in Connecticut, Massachusetts and New Hampshire. On February 2, 2015, NU, CL&P, NSTAR Electric, PSNH and WMECO commenced doing business as Eversource Energy.NU, CL&P, NSTAR Electric, PSNH and WMECO are reporting companies under the Securities Exchange Act of 1934. NU is a public utility holding company under the Public Utility Holding Company Act of 2005. Arrangements among the regulated electric companies and other NU companies, outside agencies and other utilities covering interconnections, interchange of electric power and sales of utility property are subject to regulation by the FERC. The Regulated companies are subject to regulation of rates, accounting and other matters by the FERC and/or applicable state regulatory commissions (the PURA for CL&P and Yankee Gas, the DPU for NSTAR Electric, WMECO and NSTAR Gas, and the NHPUC for PSNH).Regulated Companies: CL&P, NSTAR Electric, PSNH and WMECO furnish franchised retail electric service in Connecticut, Massachusetts and New Hampshire. Yankee Gas and NSTAR Gas are engaged in the distribution and sale of natural gas to customers within Connecticut and central and eastern Massachusetts, respectively. CL&P, NSTAR Electric, PSNH and WMECO's results include the operations of their respective distribution and transmission businesses. PSNH and WMECO's distribution results include the operations of their respective generation businesses. NU also has a regulated subsidiary, NPT, which was formed to construct, own and operate the Northern Pass line, a HVDC transmission line from Québec to New Hampshire under development that will interconnect with a new HVDC transmission line being developed by a transmission subsidiary of HQ. Other: NUSCO, NU's service company, Rocky River Realty Company, a wholly-owned real estate subsidiary of NU, Renewable Properties, Inc., a wholly-owned subsidiary of EETV, and Properties, Inc., a wholly-owned subsidiary of PSNH, provide support services to NU, including its regulated companies. Harbor Electric Energy Company, a wholly-owned subsidiary of NSTAR Electric, provides distribution service and ongoing support to the Massachusetts Water Resources Authority. Hopkinton LNG Corp, an indirect, wholly-owned subsidiary of NU, provides natural gas liquefaction, vaporization, and storage services for NSTAR Gas. "
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,B.       Basis of Presentation ,"The consolidated financial statements of NU, NSTAR Electric and PSNH include the accounts of each of their respective subsidiaries. Intercompany transactions have been eliminated in consolidation. The accompanying consolidated financial statements of NU, NSTAR Electric and PSNH and the financial statements of CL&P and WMECO are herein collectively referred to as the ""financial statements."" The preparation of the financial statements in conformity with GAAP requires management to make estimates and assumptions that affect the reported amounts of assets and liabilities and disclosure of contingent liabilities as of the date of the financial statements and the reported amounts of revenues and expenses during the reporting period. Actual results could differ from those estimates. NU's consolidated financial information includes NSTAR and its subsidiaries' results of operations beginning April 10, 2012. The information disclosed for the year ended December 31, 2012 for NSTAR Electric is presented on a comparable basis. NU consolidates CYAPC and YAEC because CL&P's, NSTAR Electric's, PSNH's and WMECO's combined ownership interest in each of these entities is greater than 50 percent. Intercompany transactions between CL&P, NSTAR Electric, PSNH and WMECO and the CYAPC and YAEC companies have been eliminated in consolidation of the NU financial statements. NU's utility subsidiaries are subject to the application of accounting guidance for entities with rate-regulated operations that considers the effect of regulation resulting from differences in the timing of the recognition of certain revenues and expenses from those of other businesses and industries. NU's utility subsidiaries' distribution, generation and transmission businesses and NPT are subject to rate-regulation that is based on cost recovery and meets the criteria for application of rate-regulated accounting. See Note 2, ""Regulatory Accounting,"" for further information.Certain reclassifications of prior year data were made in the accompanying balance sheets for NU, CL&P, NSTAR Electric and PSNH. These reclassifications were made to conform to the current year presentation.In accordance with accounting guidance on noncontrolling interests in consolidated financial statements, the Preferred Stock of CL&P and the Preferred Stock of NSTAR Electric, which are not owned by NU or its consolidated subsidiaries and are not subject to mandatory redemption, have been presented as noncontrolling interests in the financial statements of NU.  The Preferred Stock of CL&P and the Preferred Stock of NSTAR Electric are considered to be temporary equity and have been classified between liabilities and permanent shareholders' equity on the balance sheets of NU, CL&P and NSTAR Electric due to a provision in the preferred stock agreements of both CL&P and NSTAR Electric that grant preferred stockholders the right to elect a majority of the CL&P and NSTAR Electric Board of Directors, respectively, should certain conditions exist, such as if preferred dividends are in arrears for a specified amount of time.  The Net Income reported in the statements of income and cash flows represents net income prior to apportionment to noncontrolling interests, which is represented by dividends on preferred stock of CL&P and NSTAR Electric.As of December 31, 2014 and 2013, NU's carrying amount of goodwill was approximately $3.5 billion. NU performs an assessment for possible impairment of its goodwill at least annually. NU completed its annual goodwill impairment test for each of its reporting units as of October 1, 2014 and determined that no impairment exists. See Note 22, ""Goodwill,"" for further information."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,C.       Accounting Standards ,"Recently Adopted Accounting Standards: On January 1, 2014, as required, NU prospectively adopted the Financial Accounting Standards Board's (FASB) final Accounting Standards Updates (ASU) that required presentation of certain unrecognized tax benefits as reductions to deferred tax assets. Implementation of this guidance had an immaterial impact on the balance sheets and no impact on the results of operations or cash flows of NU, CL&P, NSTAR Electric, PSNH and WMECO.Accounting Standards Issued but not Yet Adopted: In May 2014, the FASB issued ASU 2014-09, Revenue from Contracts with Customers, effective January 1, 2017, which amends existing revenue recognition guidance and is required to be applied retrospectively (either to each reporting period presented or cumulatively at the date of initial application). Management is reviewing the requirements of the ASU. The ASU's impact is not expected to have a material impact on the financial statements of NU, CL&P, NSTAR Electric, PSNH and WMECO."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,D.       Cash and Cash Equivalents,"Cash and cash equivalents include cash on hand and short-term cash investments that are highly liquid in nature and have original maturities of three months or less. At the end of each reporting period, any overdraft amounts are reclassified from Cash and Cash Equivalents to Accounts Payable on the balance sheets. "
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,E.       Provision for Uncollectible Accounts,"NU, including CL&P, NSTAR Electric, PSNH and WMECO, presents its receivables at estimated net realizable value by maintaining a provision for uncollectible accounts. This provision is determined based upon a variety of judgments and factors, including the application of an estimated uncollectible percentage to each receivable aging category. The estimate is based upon historical collection and write-off experience and management's assessment of collectability from customers. Management continuously assesses the collectability of receivables and adjusts collectability estimates based on actual experience. Receivable balances are written off against the provision for uncollectible accounts when the accounts are terminated and these balances are deemed to be uncollectible. The PURA allows CL&P and Yankee Gas to accelerate the recovery of accounts receivable balances attributable to qualified customers under financial or medical duress (uncollectible hardship accounts receivable) outstanding for greater than 90 days. The DPU allows WMECO to also recover in rates amounts associated with certain uncollectible hardship accounts receivable. Uncollectible customer account balances, which are expected to be recovered in rates, are included in Regulatory Assets or Other Long-Term Assets. The total provision for uncollectible accounts and for uncollectible hardship accounts, which is included in the total provision, are included in Receivables, Net on the balance sheets, and were as follows:"
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,"F.       Fuel, Materials and Supplies and Allowance Inventory ","Fuel, Materials and Supplies include natural gas, coal, biomass and oil inventories as well as materials purchased primarily for construction or operation and maintenance purposes. Natural gas, coal, biomass and oil inventories are valued at their respective weighted average cost. Materials and supplies are valued at the lower of average cost or market. As of December 31, 2014, NU and PSNH had $164.3 million and $95.1 million, respectively, of fuel and $185.4 million and $53 million, respectively, of materials and supplies. As of December 31, 2013, NU and PSNH had $139.5 million and $74.2 million, respectively, of fuel and $163.7 million and $54.5 million, respectively, of materials and supplies.Fuel, Materials and Supplies also include Renewable Energy Certificates (RECs), which are purchased from suppliers of renewable sources of generation. RECs are used to meet state mandated Renewable Portfolio Standards requirements. As of December 31, 2014 and 2013, NSTAR Electric had $25.1 million and $4.9 million, respectively, of RECs classified as Materials and Supplies on the balance sheets. PSNH is subject to federal and state laws and regulations that regulate emissions of air pollutants, including SO2, CO2, and NOx related to its regulated generation units, and uses SO2, CO2, and NOx emissions allowances. At the end of each compliance period, PSNH is required to relinquish SO2, CO2, and NOx emissions allowances corresponding to the actual respective emissions emitted by its generating units over the compliance period. SO2 and NOx emissions allowances are obtained through an annual allocation from the federal and state regulators that are granted at no cost and through purchases from third parties. CO2 emissions allowances are obtained through an annual allocation from the state regulator that are granted at no cost and are acquired through auctions and through purchases from third parties. SO2, CO2, and NOx emissions allowances are charged to expense based on their weighted average cost as they are utilized against emissions volumes at PSNH's generating units. SO2, CO2, and NOx emissions allowances are recorded within Fuel, Materials and Supplies and are classified on the balance sheet as short-term or long-term depending on the period in which they are expected to be utilized against actual emissions. As of December 31, 2014 and 2013, PSNH had $20.1 million and $19.4 million, respectively, of long-term SO2 and CO2 emissions allowances classified as Other Long-Term Assets on the balance sheets. "
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,G.       Restricted Cash and Other Deposits,"As of December 31, 2014, NU, CL&P and PSNH had $3.2 million, $2.1 million, and $1 million respectively, of restricted cash relating to amounts held in escrow, which were included in Prepayments and Other Current Assets on the balance sheets. As of December 31, 2013, these amounts were $1.7 million and $1.4 million for NU and CL&P, respectively. As of December 31, 2014, NU, CL&P and PSNH had $9.9 million, $1.2 million and $2.5 million, respectively, of cash collateral posted not subject to master netting agreements, primarily with ISO-NE, which were included in Prepayments and Other Current Assets on the balance sheets. As of December 31, 2013, these amounts were $17.9 million and $9 million for NU and NSTAR Electric, respectively."
